AssessmentSW,Date,caseload
Joanne Kim,8/2/2017,0
Gabe Wright,8/2/2017,0
Rose Watts,8/2/2017,0
Ruben Gutierrez,8/2/2017,0
Devon Lee,8/2/2017,0
Jennifer Stevens,8/2/2017,0
Anthony Soto,8/2/2017,0
Julian Little,8/2/2017,0
Russell Brown,8/2/2017,0
Mia Boyd,8/2/2017,0
Irma Cooper,8/2/2017,0
Mark Jacobs,8/2/2017,0
Carla Howell,8/2/2017,0
Sara Perry,8/2/2017,0
Evan Graham,8/2/2017,0
Audrey Wagner,8/2/2017,0
Beatrice Schmidt,8/2/2017,0
Nathan Black,8/2/2017,0
Laurie Gibson,8/2/2017,0
Norman Chambers,8/2/2017,0
Diane Meyer,8/2/2017,0
Ian Young,8/2/2017,0
Sonia Herrera,8/2/2017,0
Abigail Meyer,8/2/2017,0
Emma Brooks,8/2/2017,0
Kyle Wood,8/2/2017,0
Francisco Hudson,8/2/2017,0
David Garza,8/2/2017,0
Dana Tucker,8/2/2017,0
Elmer Sims,8/2/2017,0
Roland Hanson,8/2/2017,0
Stacey Ray,8/2/2017,0
Jeanette Barnes,8/2/2017,0
Rhonda Terry,8/2/2017,0
Chris Hamilton,8/2/2017,0
Calvin Burton,8/3/2017,0
Rafael Taylor,8/3/2017,0
Allen Rivera,8/3/2017,0
Jared Gonzales,8/3/2017,0
Justin Ford,8/3/2017,0
Constance Holmes,8/3/2017,0
Sandra Lopez,8/3/2017,0
Fernando Walters,8/3/2017,0
Christopher Stephens,8/3/2017,0
Carolyn Griffin,8/3/2017,0
Harper Gordon,8/3/2017,0
Devon Riley,8/3/2017,0
Lauren Morrison,8/3/2017,0
Hugh Lawrence,8/3/2017,0
Valerie Webb,8/3/2017,0
Matthew Silva,8/3/2017,0
Tamara Chapman,8/3/2017,0
Janet Jacobs,8/3/2017,0
Celina Robertson,8/3/2017,0
Shelly Stewart,8/3/2017,0
Aubrey Grant,8/3/2017,0
Julia Moreno,8/3/2017,0
Arlene Cooper,8/3/2017,0
Joanne Jenkins,8/3/2017,0
Amy Porter,8/3/2017,0
Bill Bailey,8/3/2017,0
Nora Arnold,8/3/2017,0
Alvin Gutierrez,8/3/2017,0
Julio Jones,8/3/2017,0
Louise Welch,8/3/2017,0
Norman Newman,8/3/2017,0
Adrian Oliver,8/3/2017,0
Marlene Stanley,8/3/2017,0
Scott Franklin,8/3/2017,0
Gladys Patterson,8/3/2017,0
Claude Mills,8/3/2017,0
Marcia Daniels,8/3/2017,0
Kristin Thomas,8/3/2017,0
Antonio Campbell,8/3/2017,0
Morris Miles,8/3/2017,0
Colleen Flores,8/3/2017,0
Clayton Beck,8/3/2017,0
Cherly Jackson,8/3/2017,0
Kaylee Williams,8/3/2017,0
Isobel Grant,8/3/2017,0
Claudia Young,8/3/2017,0
Lucy Murphy,8/3/2017,0
Dustin Gonzales,8/3/2017,0
Beverley Reyes,8/3/2017,0
Jimmie Fisher,8/3/2017,0
Ken Reid,8/3/2017,0
Sophie Williamson,8/3/2017,0
Brett Coleman,8/3/2017,0
Gilbert Carter,8/3/2017,0
Ana Lewis,8/3/2017,0
Arthur Morris,8/3/2017,0
Derek Matthews,8/3/2017,0
Devon Beck,8/3/2017,0
Flenn West,8/3/2017,0
Alyssa Medina,8/3/2017,0
Joanne Kim,8/3/2017,0
Gabe Wright,8/3/2017,0
Rose Watts,8/3/2017,0
Ruben Gutierrez,8/3/2017,0
Devon Lee,8/3/2017,0
Jennifer Stevens,8/3/2017,0
Anthony Soto,8/3/2017,0
Julian Little,8/3/2017,0
Russell Brown,8/3/2017,0
Mia Boyd,8/3/2017,0
Irma Cooper,8/3/2017,0
Mark Jacobs,8/3/2017,0
Carla Howell,8/3/2017,0
Sara Perry,8/3/2017,0
Evan Graham,8/3/2017,0
Audrey Wagner,8/3/2017,0
Beatrice Schmidt,8/3/2017,0
Nathan Black,8/3/2017,0
Laurie Gibson,8/3/2017,0
Norman Chambers,8/3/2017,0
Diane Meyer,8/3/2017,0
Ian Young,8/3/2017,0
Sonia Herrera,8/3/2017,0
Abigail Meyer,8/3/2017,0
Emma Brooks,8/3/2017,0
Kyle Wood,8/3/2017,0
Francisco Hudson,8/3/2017,0
David Garza,8/3/2017,0
Dana Tucker,8/3/2017,0
Elmer Sims,8/3/2017,0
Roland Hanson,8/3/2017,0
Stacey Ray,8/3/2017,0
Jeanette Barnes,8/3/2017,0
Rhonda Terry,8/3/2017,0
Chris Hamilton,8/3/2017,0
Calvin Burton,8/4/2017,0
Rafael Taylor,8/4/2017,0
Allen Rivera,8/4/2017,0
Jared Gonzales,8/4/2017,0
Justin Ford,8/4/2017,0
Constance Holmes,8/4/2017,0
Sandra Lopez,8/4/2017,0
Fernando Walters,8/4/2017,0
Christopher Stephens,8/4/2017,0
Carolyn Griffin,8/4/2017,0
Harper Gordon,8/4/2017,0
Devon Riley,8/4/2017,0
Lauren Morrison,8/4/2017,0
Hugh Lawrence,8/4/2017,0
Valerie Webb,8/4/2017,0
Matthew Silva,8/4/2017,0
Tamara Chapman,8/4/2017,0
Janet Jacobs,8/4/2017,0
Celina Robertson,8/4/2017,0
Shelly Stewart,8/4/2017,0
Aubrey Grant,8/4/2017,0
Julia Moreno,8/4/2017,0
Arlene Cooper,8/4/2017,0
Joanne Jenkins,8/4/2017,0
Amy Porter,8/4/2017,0
Bill Bailey,8/4/2017,0
Nora Arnold,8/4/2017,0
Alvin Gutierrez,8/4/2017,0
Julio Jones,8/4/2017,0
Louise Welch,8/4/2017,0
Norman Newman,8/4/2017,0
Adrian Oliver,8/4/2017,0
Marlene Stanley,8/4/2017,0
Scott Franklin,8/4/2017,0
Gladys Patterson,8/4/2017,0
Claude Mills,8/4/2017,0
Marcia Daniels,8/4/2017,0
Kristin Thomas,8/4/2017,0
Antonio Campbell,8/4/2017,0
Morris Miles,8/4/2017,0
Colleen Flores,8/4/2017,0
Clayton Beck,8/4/2017,0
Cherly Jackson,8/4/2017,0
Kaylee Williams,8/4/2017,0
Isobel Grant,8/4/2017,0
Claudia Young,8/4/2017,0
Lucy Murphy,8/4/2017,0
Dustin Gonzales,8/4/2017,0
Beverley Reyes,8/4/2017,0
Jimmie Fisher,8/4/2017,0
Ken Reid,8/4/2017,0
Sophie Williamson,8/4/2017,0
Brett Coleman,8/4/2017,0
Gilbert Carter,8/4/2017,0
Ana Lewis,8/4/2017,0
Arthur Morris,8/4/2017,0
Derek Matthews,8/4/2017,0
Devon Beck,8/4/2017,0
Flenn West,8/4/2017,0
Alyssa Medina,8/4/2017,0
Joanne Kim,8/4/2017,0
Gabe Wright,8/4/2017,0
Rose Watts,8/4/2017,0
Ruben Gutierrez,8/4/2017,0
Devon Lee,8/4/2017,0
Jennifer Stevens,8/4/2017,0
Anthony Soto,8/4/2017,0
Julian Little,8/4/2017,0
Russell Brown,8/4/2017,0
Mia Boyd,8/4/2017,0
Irma Cooper,8/4/2017,0
Mark Jacobs,8/4/2017,0
Carla Howell,8/4/2017,0
Sara Perry,8/4/2017,0
Evan Graham,8/4/2017,0
Audrey Wagner,8/4/2017,0
Beatrice Schmidt,8/4/2017,0
Nathan Black,8/4/2017,0
Laurie Gibson,8/4/2017,0
Norman Chambers,8/4/2017,0
Diane Meyer,8/4/2017,0
Ian Young,8/4/2017,0
Sonia Herrera,8/4/2017,0
Abigail Meyer,8/4/2017,0
Emma Brooks,8/4/2017,0
Kyle Wood,8/4/2017,0
Francisco Hudson,8/4/2017,0
David Garza,8/4/2017,0
Dana Tucker,8/4/2017,0
Elmer Sims,8/4/2017,0
Roland Hanson,8/4/2017,0
Stacey Ray,8/4/2017,0
Jeanette Barnes,8/4/2017,0
Rhonda Terry,8/4/2017,0
Chris Hamilton,8/4/2017,0
Calvin Burton,8/5/2017,0
Rafael Taylor,8/5/2017,0
Allen Rivera,8/5/2017,0
Jared Gonzales,8/5/2017,0
Justin Ford,8/5/2017,0
Constance Holmes,8/5/2017,0
Sandra Lopez,8/5/2017,0
Fernando Walters,8/5/2017,0
Christopher Stephens,8/5/2017,0
Carolyn Griffin,8/5/2017,0
Harper Gordon,8/5/2017,0
Devon Riley,8/5/2017,0
Lauren Morrison,8/5/2017,0
Hugh Lawrence,8/5/2017,0
Valerie Webb,8/5/2017,0
Matthew Silva,8/5/2017,0
Tamara Chapman,8/5/2017,0
Janet Jacobs,8/5/2017,0
Celina Robertson,8/5/2017,0
Shelly Stewart,8/5/2017,0
Aubrey Grant,8/5/2017,0
Julia Moreno,8/5/2017,0
Arlene Cooper,8/5/2017,0
Joanne Jenkins,8/5/2017,0
Amy Porter,8/5/2017,0
Bill Bailey,8/5/2017,0
Nora Arnold,8/5/2017,0
Alvin Gutierrez,8/5/2017,0
Julio Jones,8/5/2017,0
Louise Welch,8/5/2017,0
Norman Newman,8/5/2017,0
Adrian Oliver,8/5/2017,0
Marlene Stanley,8/5/2017,0
Scott Franklin,8/5/2017,0
Gladys Patterson,8/5/2017,0
Claude Mills,8/5/2017,0
Marcia Daniels,8/5/2017,0
Kristin Thomas,8/5/2017,0
Antonio Campbell,8/5/2017,0
Morris Miles,8/5/2017,0
Colleen Flores,8/5/2017,0
Clayton Beck,8/5/2017,0
Cherly Jackson,8/5/2017,0
Kaylee Williams,8/5/2017,0
Isobel Grant,8/5/2017,0
Claudia Young,8/5/2017,0
Lucy Murphy,8/5/2017,0
Dustin Gonzales,8/5/2017,0
Beverley Reyes,8/5/2017,0
Jimmie Fisher,8/5/2017,0
Ken Reid,8/5/2017,0
Sophie Williamson,8/5/2017,0
Brett Coleman,8/5/2017,0
Gilbert Carter,8/5/2017,0
Ana Lewis,8/5/2017,0
Arthur Morris,8/5/2017,0
Derek Matthews,8/5/2017,0
Devon Beck,8/5/2017,0
Flenn West,8/5/2017,0
Alyssa Medina,8/5/2017,0
Joanne Kim,8/5/2017,0
Gabe Wright,8/5/2017,0
Rose Watts,8/5/2017,0
Ruben Gutierrez,8/5/2017,0
Devon Lee,8/5/2017,0
Jennifer Stevens,8/5/2017,0
Anthony Soto,8/5/2017,0
Julian Little,8/5/2017,0
Russell Brown,8/5/2017,0
Mia Boyd,8/5/2017,0
Irma Cooper,8/5/2017,0
Mark Jacobs,8/5/2017,0
Carla Howell,8/5/2017,0
Sara Perry,8/5/2017,0
Evan Graham,8/5/2017,0
Audrey Wagner,8/5/2017,0
Beatrice Schmidt,8/5/2017,0
Nathan Black,8/5/2017,0
Laurie Gibson,8/5/2017,0
Norman Chambers,8/5/2017,0
Diane Meyer,8/5/2017,0
Ian Young,8/5/2017,0
Sonia Herrera,8/5/2017,0
Abigail Meyer,8/5/2017,0
Emma Brooks,8/5/2017,0
Kyle Wood,8/5/2017,0
Francisco Hudson,8/5/2017,0
David Garza,8/5/2017,0
Dana Tucker,8/5/2017,0
Elmer Sims,8/5/2017,0
Roland Hanson,8/5/2017,0
Stacey Ray,8/5/2017,0
Jeanette Barnes,8/5/2017,0
Rhonda Terry,8/5/2017,0
Chris Hamilton,8/5/2017,0
Calvin Burton,8/6/2017,0
Rafael Taylor,8/6/2017,0
Allen Rivera,8/6/2017,0
Jared Gonzales,8/6/2017,0
Justin Ford,8/6/2017,0
Constance Holmes,8/6/2017,0
Sandra Lopez,8/6/2017,0
Fernando Walters,8/6/2017,0
Christopher Stephens,8/6/2017,0
Carolyn Griffin,8/6/2017,0
Harper Gordon,8/6/2017,0
Devon Riley,8/6/2017,0
Lauren Morrison,8/6/2017,0
Hugh Lawrence,8/6/2017,0
Valerie Webb,8/6/2017,0
Matthew Silva,8/6/2017,0
Tamara Chapman,8/6/2017,0
Janet Jacobs,8/6/2017,0
Celina Robertson,8/6/2017,0
Shelly Stewart,8/6/2017,0
Aubrey Grant,8/6/2017,0
Julia Moreno,8/6/2017,0
Arlene Cooper,8/6/2017,0
Joanne Jenkins,8/6/2017,0
Amy Porter,8/6/2017,0
Bill Bailey,8/6/2017,0
Nora Arnold,8/6/2017,0
Alvin Gutierrez,8/6/2017,0
Julio Jones,8/6/2017,0
Louise Welch,8/6/2017,0
Norman Newman,8/6/2017,0
Adrian Oliver,8/6/2017,0
Marlene Stanley,8/6/2017,0
Scott Franklin,8/6/2017,0
Gladys Patterson,8/6/2017,0
Claude Mills,8/6/2017,0
Marcia Daniels,8/6/2017,0
Kristin Thomas,8/6/2017,0
Antonio Campbell,8/6/2017,0
Morris Miles,8/6/2017,0
Colleen Flores,8/6/2017,0
Clayton Beck,8/6/2017,0
Cherly Jackson,8/6/2017,0
Kaylee Williams,8/6/2017,0
Isobel Grant,8/6/2017,0
Claudia Young,8/6/2017,0
Lucy Murphy,8/6/2017,0
Dustin Gonzales,8/6/2017,0
Beverley Reyes,8/6/2017,0
Jimmie Fisher,8/6/2017,0
Ken Reid,8/6/2017,0
Sophie Williamson,8/6/2017,0
Brett Coleman,8/6/2017,0
Gilbert Carter,8/6/2017,0
Ana Lewis,8/6/2017,0
Arthur Morris,8/6/2017,0
Derek Matthews,8/6/2017,0
Devon Beck,8/6/2017,0
Flenn West,8/6/2017,0
Alyssa Medina,8/6/2017,0
Joanne Kim,8/6/2017,0
Gabe Wright,8/6/2017,0
Rose Watts,8/6/2017,0
Ruben Gutierrez,8/6/2017,0
Devon Lee,8/6/2017,0
Jennifer Stevens,8/6/2017,0
Anthony Soto,8/6/2017,0
Julian Little,8/6/2017,0
Russell Brown,8/6/2017,0
Mia Boyd,8/6/2017,0
Irma Cooper,8/6/2017,0
Mark Jacobs,8/6/2017,0
Carla Howell,8/6/2017,0
Sara Perry,8/6/2017,0
Evan Graham,8/6/2017,0
Audrey Wagner,8/6/2017,0
Beatrice Schmidt,8/6/2017,0
Nathan Black,8/6/2017,0
Laurie Gibson,8/6/2017,0
Norman Chambers,8/6/2017,0
Diane Meyer,8/6/2017,0
Ian Young,8/6/2017,0
Sonia Herrera,8/6/2017,0
Abigail Meyer,8/6/2017,0
Emma Brooks,8/6/2017,0
Kyle Wood,8/6/2017,0
Francisco Hudson,8/6/2017,0
David Garza,8/6/2017,0
Dana Tucker,8/6/2017,0
Elmer Sims,8/6/2017,0
Roland Hanson,8/6/2017,0
Stacey Ray,8/6/2017,0
Jeanette Barnes,8/6/2017,0
Rhonda Terry,8/6/2017,0
Chris Hamilton,8/6/2017,0
Calvin Burton,8/7/2017,0
Allen Rivera,8/7/2017,0
Jared Gonzales,8/7/2017,0
Justin Ford,8/7/2017,0
Constance Holmes,8/7/2017,0
Sandra Lopez,8/7/2017,0
Fernando Walters,8/7/2017,0
Carolyn Griffin,8/7/2017,0
Harper Gordon,8/7/2017,0
Devon Riley,8/7/2017,0
Lauren Morrison,8/7/2017,0
Matthew Silva,8/7/2017,0
Tamara Chapman,8/7/2017,0
Janet Jacobs,8/7/2017,0
Celina Robertson,8/7/2017,0
Shelly Stewart,8/7/2017,0
Aubrey Grant,8/7/2017,0
Julia Moreno,8/7/2017,0
Arlene Cooper,8/7/2017,0
Joanne Jenkins,8/7/2017,0
Bill Bailey,8/7/2017,0
Nora Arnold,8/7/2017,0
Alvin Gutierrez,8/7/2017,0
Julio Jones,8/7/2017,0
Louise Welch,8/7/2017,0
Norman Newman,8/7/2017,0
Adrian Oliver,8/7/2017,0
Marlene Stanley,8/7/2017,0
Scott Franklin,8/7/2017,0
Gladys Patterson,8/7/2017,0
Claude Mills,8/7/2017,0
Antonio Campbell,8/7/2017,0
Morris Miles,8/7/2017,0
Colleen Flores,8/7/2017,0
Clayton Beck,8/7/2017,0
Cherly Jackson,8/7/2017,0
Kaylee Williams,8/7/2017,0
Isobel Grant,8/7/2017,0
Claudia Young,8/7/2017,0
Lucy Murphy,8/7/2017,0
Dustin Gonzales,8/7/2017,0
Beverley Reyes,8/7/2017,0
Jimmie Fisher,8/7/2017,0
Ken Reid,8/7/2017,0
Sophie Williamson,8/7/2017,0
Brett Coleman,8/7/2017,0
Gilbert Carter,8/7/2017,0
Ana Lewis,8/7/2017,0
Arthur Morris,8/7/2017,0
Derek Matthews,8/7/2017,0
Devon Beck,8/7/2017,0
Flenn West,8/7/2017,0
Alyssa Medina,8/7/2017,0
Joanne Kim,8/7/2017,0
Gabe Wright,8/7/2017,0
Rose Watts,8/7/2017,0
Ruben Gutierrez,8/7/2017,0
Devon Lee,8/7/2017,0
Jennifer Stevens,8/7/2017,0
Anthony Soto,8/7/2017,0
Julian Little,8/7/2017,0
Russell Brown,8/7/2017,0
Mia Boyd,8/7/2017,0
Irma Cooper,8/7/2017,0
Mark Jacobs,8/7/2017,0
Carla Howell,8/7/2017,0
Sara Perry,8/7/2017,0
Evan Graham,8/7/2017,0
Audrey Wagner,8/7/2017,0
Beatrice Schmidt,8/7/2017,0
Nathan Black,8/7/2017,0
Laurie Gibson,8/7/2017,0
Norman Chambers,8/7/2017,0
Diane Meyer,8/7/2017,0
Ian Young,8/7/2017,0
Abigail Meyer,8/7/2017,0
Emma Brooks,8/7/2017,0
Kyle Wood,8/7/2017,0
Francisco Hudson,8/7/2017,0
David Garza,8/7/2017,0
Dana Tucker,8/7/2017,0
Elmer Sims,8/7/2017,0
Roland Hanson,8/7/2017,0
Stacey Ray,8/7/2017,0
Jeanette Barnes,8/7/2017,0
Rhonda Terry,8/7/2017,0
Chris Hamilton,8/7/2017,0
Calvin Burton,8/8/2017,0
Allen Rivera,8/8/2017,0
Jared Gonzales,8/8/2017,0
Constance Holmes,8/8/2017,0
Sandra Lopez,8/8/2017,0
Fernando Walters,8/8/2017,0
Carolyn Griffin,8/8/2017,0
Harper Gordon,8/8/2017,0
Devon Riley,8/8/2017,0
Lauren Morrison,8/8/2017,0
Matthew Silva,8/8/2017,0
Janet Jacobs,8/8/2017,0
Celina Robertson,8/8/2017,0
Shelly Stewart,8/8/2017,0
Julia Moreno,8/8/2017,0
Arlene Cooper,8/8/2017,0
Joanne Jenkins,8/8/2017,0
Bill Bailey,8/8/2017,0
Louise Welch,8/8/2017,0
Norman Newman,8/8/2017,0
Marlene Stanley,8/8/2017,0
Gladys Patterson,8/8/2017,0
Claude Mills,8/8/2017,0
Colleen Flores,8/8/2017,0
Clayton Beck,8/8/2017,0
Cherly Jackson,8/8/2017,0
Kaylee Williams,8/8/2017,0
Isobel Grant,8/8/2017,0
Claudia Young,8/8/2017,0
Lucy Murphy,8/8/2017,0
Dustin Gonzales,8/8/2017,0
Beverley Reyes,8/8/2017,0
Jimmie Fisher,8/8/2017,0
Ken Reid,8/8/2017,0
Sophie Williamson,8/8/2017,0
Brett Coleman,8/8/2017,0
Gilbert Carter,8/8/2017,0
Ana Lewis,8/8/2017,0
Arthur Morris,8/8/2017,0
Derek Matthews,8/8/2017,0
Devon Beck,8/8/2017,0
Flenn West,8/8/2017,0
Alyssa Medina,8/8/2017,0
Joanne Kim,8/8/2017,0
Gabe Wright,8/8/2017,0
Rose Watts,8/8/2017,0
Ruben Gutierrez,8/8/2017,0
Devon Lee,8/8/2017,0
Jennifer Stevens,8/8/2017,0
Anthony Soto,8/8/2017,0
Julian Little,8/8/2017,0
Russell Brown,8/8/2017,0
Mia Boyd,8/8/2017,0
Irma Cooper,8/8/2017,0
Mark Jacobs,8/8/2017,0
Carla Howell,8/8/2017,0
Sara Perry,8/8/2017,0
Evan Graham,8/8/2017,0
Audrey Wagner,8/8/2017,0
Beatrice Schmidt,8/8/2017,0
Nathan Black,8/8/2017,0
Laurie Gibson,8/8/2017,0
Norman Chambers,8/8/2017,0
Diane Meyer,8/8/2017,0
Ian Young,8/8/2017,0
Kyle Wood,8/8/2017,0
Francisco Hudson,8/8/2017,0
David Garza,8/8/2017,0
Dana Tucker,8/8/2017,0
Elmer Sims,8/8/2017,0
Roland Hanson,8/8/2017,0
Stacey Ray,8/8/2017,0
Jeanette Barnes,8/8/2017,0
Rhonda Terry,8/8/2017,0
Chris Hamilton,8/8/2017,0
Calvin Burton,8/9/2017,0
Allen Rivera,8/9/2017,0
Jared Gonzales,8/9/2017,0
Sandra Lopez,8/9/2017,0
Fernando Walters,8/9/2017,0
Carolyn Griffin,8/9/2017,0
Harper Gordon,8/9/2017,0
Devon Riley,8/9/2017,0
Lauren Morrison,8/9/2017,0
Matthew Silva,8/9/2017,0
Janet Jacobs,8/9/2017,0
Celina Robertson,8/9/2017,0
Shelly Stewart,8/9/2017,0
Julia Moreno,8/9/2017,0
Arlene Cooper,8/9/2017,0
Joanne Jenkins,8/9/2017,0
Bill Bailey,8/9/2017,0
Louise Welch,8/9/2017,0
Norman Newman,8/9/2017,0
Marlene Stanley,8/9/2017,0
Gladys Patterson,8/9/2017,0
Claude Mills,8/9/2017,0
Colleen Flores,8/9/2017,0
Clayton Beck,8/9/2017,0
Cherly Jackson,8/9/2017,0
Kaylee Williams,8/9/2017,0
Isobel Grant,8/9/2017,0
Claudia Young,8/9/2017,0
Lucy Murphy,8/9/2017,0
Dustin Gonzales,8/9/2017,0
Beverley Reyes,8/9/2017,0
Jimmie Fisher,8/9/2017,0
Ken Reid,8/9/2017,0
Sophie Williamson,8/9/2017,0
Brett Coleman,8/9/2017,0
Gilbert Carter,8/9/2017,0
Ana Lewis,8/9/2017,0
Arthur Morris,8/9/2017,0
Derek Matthews,8/9/2017,0
Devon Beck,8/9/2017,0
Flenn West,8/9/2017,0
Alyssa Medina,8/9/2017,0
Joanne Kim,8/9/2017,0
Gabe Wright,8/9/2017,0
Rose Watts,8/9/2017,0
Ruben Gutierrez,8/9/2017,0
Devon Lee,8/9/2017,0
Jennifer Stevens,8/9/2017,0
Anthony Soto,8/9/2017,0
Julian Little,8/9/2017,0
Russell Brown,8/9/2017,0
Mia Boyd,8/9/2017,0
Irma Cooper,8/9/2017,0
Mark Jacobs,8/9/2017,0
Carla Howell,8/9/2017,0
Sara Perry,8/9/2017,0
Evan Graham,8/9/2017,0
Audrey Wagner,8/9/2017,0
Beatrice Schmidt,8/9/2017,0
Nathan Black,8/9/2017,0
Laurie Gibson,8/9/2017,0
Norman Chambers,8/9/2017,0
Diane Meyer,8/9/2017,0
Ian Young,8/9/2017,0
Kyle Wood,8/9/2017,0
Francisco Hudson,8/9/2017,0
David Garza,8/9/2017,0
Dana Tucker,8/9/2017,0
Elmer Sims,8/9/2017,0
Roland Hanson,8/9/2017,0
Stacey Ray,8/9/2017,0
Jeanette Barnes,8/9/2017,0
Rhonda Terry,8/9/2017,0
Chris Hamilton,8/9/2017,0
Calvin Burton,8/10/2017,0
Allen Rivera,8/10/2017,0
Jared Gonzales,8/10/2017,0
Sandra Lopez,8/10/2017,0
Carolyn Griffin,8/10/2017,0
Harper Gordon,8/10/2017,0
Lauren Morrison,8/10/2017,0
Matthew Silva,8/10/2017,0
Janet Jacobs,8/10/2017,0
Celina Robertson,8/10/2017,0
Shelly Stewart,8/10/2017,0
Julia Moreno,8/10/2017,0
Arlene Cooper,8/10/2017,0
Joanne Jenkins,8/10/2017,0
Bill Bailey,8/10/2017,0
Louise Welch,8/10/2017,0
Norman Newman,8/10/2017,0
Gladys Patterson,8/10/2017,0
Claude Mills,8/10/2017,0
Colleen Flores,8/10/2017,0
Clayton Beck,8/10/2017,0
Cherly Jackson,8/10/2017,0
Kaylee Williams,8/10/2017,0
Isobel Grant,8/10/2017,0
Claudia Young,8/10/2017,0
Lucy Murphy,8/10/2017,0
Dustin Gonzales,8/10/2017,0
Beverley Reyes,8/10/2017,0
Jimmie Fisher,8/10/2017,0
Ken Reid,8/10/2017,0
Sophie Williamson,8/10/2017,0
Brett Coleman,8/10/2017,0
Gilbert Carter,8/10/2017,0
Ana Lewis,8/10/2017,0
Arthur Morris,8/10/2017,0
Derek Matthews,8/10/2017,0
Devon Beck,8/10/2017,0
Flenn West,8/10/2017,0
Alyssa Medina,8/10/2017,0
Joanne Kim,8/10/2017,0
Gabe Wright,8/10/2017,0
Rose Watts,8/10/2017,0
Ruben Gutierrez,8/10/2017,0
Devon Lee,8/10/2017,0
Jennifer Stevens,8/10/2017,0
Anthony Soto,8/10/2017,0
Julian Little,8/10/2017,0
Russell Brown,8/10/2017,0
Mia Boyd,8/10/2017,0
Irma Cooper,8/10/2017,0
Mark Jacobs,8/10/2017,0
Carla Howell,8/10/2017,0
Sara Perry,8/10/2017,0
Evan Graham,8/10/2017,0
Audrey Wagner,8/10/2017,0
Beatrice Schmidt,8/10/2017,0
Nathan Black,8/10/2017,0
Laurie Gibson,8/10/2017,0
Norman Chambers,8/10/2017,0
Diane Meyer,8/10/2017,0
Ian Young,8/10/2017,0
Kyle Wood,8/10/2017,0
Francisco Hudson,8/10/2017,0
David Garza,8/10/2017,0
Dana Tucker,8/10/2017,0
Elmer Sims,8/10/2017,0
Roland Hanson,8/10/2017,0
Stacey Ray,8/10/2017,0
Jeanette Barnes,8/10/2017,0
Rhonda Terry,8/10/2017,0
Chris Hamilton,8/10/2017,0
Calvin Burton,8/11/2017,0
Allen Rivera,8/11/2017,0
Jared Gonzales,8/11/2017,0
Sandra Lopez,8/11/2017,0
Carolyn Griffin,8/11/2017,0
Harper Gordon,8/11/2017,0
Lauren Morrison,8/11/2017,0
Matthew Silva,8/11/2017,0
Janet Jacobs,8/11/2017,0
Celina Robertson,8/11/2017,0
Shelly Stewart,8/11/2017,0
Julia Moreno,8/11/2017,0
Arlene Cooper,8/11/2017,0
Joanne Jenkins,8/11/2017,0
Bill Bailey,8/11/2017,0
Louise Welch,8/11/2017,0
Norman Newman,8/11/2017,0
Gladys Patterson,8/11/2017,0
Claude Mills,8/11/2017,0
Colleen Flores,8/11/2017,0
Clayton Beck,8/11/2017,0
Cherly Jackson,8/11/2017,0
Kaylee Williams,8/11/2017,0
Isobel Grant,8/11/2017,0
Claudia Young,8/11/2017,0
Lucy Murphy,8/11/2017,0
Dustin Gonzales,8/11/2017,0
